age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
24.0,70.5,176.0,72.8,10.0,30.0,20.0,16.5,63.4,54.0,31.93,31.985000000000003,4.0,0.0,1.0
35.0,68.25,143.0,69.5,24.0,37.0,42.0,80.0,100.0,103.0,29.1,28.880000000000003,5.0,0.0,1.0
28.0,72.0,164.0,75.0,17.0,38.0,53.0,85.0,97.0,165.0,28.825,28.68,7.0,0.0,1.0
41.0,74.0,175.0,71.0,14.0,26.0,12.0,5.0,80.0,35.0,31.58,31.130000000000003,0.0,0.0,1.0
40.0,71.0,165.0,71.0,22.0,37.0,73.0,90.0,90.0,205.0,29.35,29.55,0.0,0.0,1.0
54.0,77.0,167.0,77.5,19.0,24.0,56.0,70.0,100.0,165.0,36.25,35.9,9.0,0.0,1.0
27.0,62.0,122.0,62.0,12.0,12.0,69.0,45.0,45.0,125.0,26.35,26.975,8.0,0.0,0.0
32.0,71.0,171.0,70.0,8.0,23.0,28.0,45.0,60.0,102.0,31.8,31.65,0.0,0.0,1.0
23.0,67.0,155.7,72.0,23.0,40.0,86.0,128.5,110.0,275.0,34.775,35.61,11.0,0.0,1.0
28.0,70.0,150.0,72.0,28.0,42.1,24.0,65.0,140.0,55.0,28.325,29.380000000000003,6.0,6.0,1.0
28.0,65.0,138.0,65.0,20.0,35.0,63.0,85.0,110.0,124.0,28.75,29.6,9.0,8.0,1.0
28.0,69.0,168.0,72.5,19.0,40.0,52.0,65.0,103.5,135.0,29.375,29.83,8.0,7.0,1.0
29.0,60.0,110.0,61.0,5.0,13.0,13.0,10.0,26.75,32.0,32.05,32.480000000000004,5.0,4.0,0.0
